policy_id,policy_title,hh_standard,section_id,section_title,supporting_content,match_type,confidence,notes
CL-CA-001,Patient Assessment — Comprehensive,HH5-2A.01,5-policy-statement,4. Policy Statement,4.1 A comprehensive patient assessment shall be completed by a qualified registered nurse at the Start of Care visit and at all subsequent applicable OASIS time points. The comprehensive assessment shall begin at the time of the first billable visit — the SOC visit — and shall be completed at the patient's home. 4.2 Only a registered nurse currently licensed by the California Board of Registered N,ACHC_CONTEXT,HIGH,Survey notes reference section 4. Corridor context token overlap (2 token hits).
CL-CA-001,Patient Assessment — Comprehensive,HH5-2B,5-policy-statement,4. Policy Statement,4.1 A comprehensive patient assessment shall be completed by a qualified registered nurse at the Start of Care visit and at all subsequent applicable OASIS time points. The comprehensive assessment shall begin at the time of the first billable visit — the SOC visit — and shall be completed at the patient's home. 4.2 Only a registered nurse currently licensed by the California Board of Registered N,ACHC_CONTEXT,HIGH,Survey notes reference section 4. Corridor context token overlap (2 token hits).
CL-CA-001,Patient Assessment — Comprehensive,HH5-2C.01,5-policy-statement,4. Policy Statement,4.1 A comprehensive patient assessment shall be completed by a qualified registered nurse at the Start of Care visit and at all subsequent applicable OASIS time points. The comprehensive assessment shall begin at the time of the first billable visit — the SOC visit — and shall be completed at the patient's home. 4.2 Only a registered nurse currently licensed by the California Board of Registered Nursing and meeting the assessment competency requi,ACHC_CONTEXT,HIGH,"HH standard appears directly in canonical section text. [FinalFix: relocated from reference-section ""24-references"" to substantive section ""5-policy-statement""]"
CL-CA-001,Patient Assessment — Comprehensive,HH5-2C.02,5-policy-statement,4. Policy Statement,4.1 A comprehensive patient assessment shall be completed by a qualified registered nurse at the Start of Care visit and at all subsequent applicable OASIS time points. The comprehensive assessment shall begin at the time of the first billable visit — the SOC visit — and shall be completed at the patient's home. 4.2 Only a registered nurse currently licensed by the California Board of Registered N,ACHC_CONTEXT,HIGH,Survey notes reference section 4. Corridor context token overlap (2 token hits).
CL-CA-001,Patient Assessment — Comprehensive,HH5-2C,5-policy-statement,4. Policy Statement,4.1 A comprehensive patient assessment shall be completed by a qualified registered nurse at the Start of Care visit and at all subsequent applicable OASIS time points. The comprehensive assessment shall begin at the time of the first billable visit — the SOC visit — and shall be completed at the patient's home. 4.2 Only a registered nurse currently licensed by the California Board of Registered Nursing and meeting the assessment competency requi,ACHC_CONTEXT,HIGH,"HH standard appears directly in canonical section text. [FinalFix: relocated from reference-section ""24-references"" to substantive section ""5-policy-statement""]"
CL-CA-001,Patient Assessment — Comprehensive,HH5-2E,5-policy-statement,4. Policy Statement,4.1 A comprehensive patient assessment shall be completed by a qualified registered nurse at the Start of Care visit and at all subsequent applicable OASIS time points. The comprehensive assessment shall begin at the time of the first billable visit — the SOC visit — and shall be completed at the patient's home. 4.2 Only a registered nurse currently licensed by the California Board of Registered N,ACHC_CONTEXT,HIGH,Survey notes reference section 4. Corridor context token overlap (2 token hits).
CL-CA-001,Patient Assessment — Comprehensive,HH5-2F,5-policy-statement,4. Policy Statement,4.1 A comprehensive patient assessment shall be completed by a qualified registered nurse at the Start of Care visit and at all subsequent applicable OASIS time points. The comprehensive assessment shall begin at the time of the first billable visit — the SOC visit — and shall be completed at the patient's home. 4.2 Only a registered nurse currently licensed by the California Board of Registered N,ACHC_CONTEXT,HIGH,Survey notes reference section 4. Corridor context token overlap (2 token hits).
CL-CA-001,Patient Assessment — Comprehensive,HH5-3A,5-policy-statement,4. Policy Statement,4.1 A comprehensive patient assessment shall be completed by a qualified registered nurse at the Start of Care visit and at all subsequent applicable OASIS time points. The comprehensive assessment shall begin at the time of the first billable visit — the SOC visit — and shall be completed at the patient's home. 4.2 Only a registered nurse currently licensed by the California Board of Registered N,ACHC_CONTEXT,HIGH,Survey notes reference section 4. Corridor context token overlap (2 token hits).
CL-CA-002,OASIS Data Collection & Accuracy,HH5-2A.01,9-domain-specific-oasis-accuracy-standards,Domain-Specific OASIS Accuracy Standards,"The following domain-specific accuracy standards shall govern response selection for the highest-risk OASIS item categories. These standards supplement the CMS OASIS-E2 Guidance Manual and do not supersede it. #### 6.2.1 Functional Status — GG Items (GG0130, GG0170)  | Step | Responsible Party | Action | Timeframe | | :---- | :---- | :---- | :---- | | 6.2.1.1 | Assigned RN | The GG functional item",CORRIDOR_CONTEXT,HIGH,Corridor context token overlap (2 token hits). Survey-note to section-title overlap (3).
CL-CA-002,OASIS Data Collection & Accuracy,HH5-2B,9-domain-specific-oasis-accuracy-standards,Domain-Specific OASIS Accuracy Standards,"The following domain-specific accuracy standards shall govern response selection for the highest-risk OASIS item categories. These standards supplement the CMS OASIS-E2 Guidance Manual and do not supersede it. #### 6.2.1 Functional Status — GG Items (GG0130, GG0170)  | Step | Responsible Party | Action | Timeframe | | :---- | :---- | :---- | :---- | | 6.2.1.1 | Assigned RN | The GG functional item",CORRIDOR_CONTEXT,HIGH,Corridor context token overlap (2 token hits). Survey-note to section-title overlap (3).
